neighborhood,average price,type,,,,,,,,
Bath Beach,"$1,825",2_bedroom,,,,,,,,
Brooklyn Heights,"$3,450",2_bedroom,,,,,,,,
Gowanus,"$2,350",2_bedroom,,,,,,,,
Stapleton,"$3,200",2_bedroom,,,,,,,,
Flatlands,"$2,000",2_bedroom,,,,,,,,
South Ozone Park,"$1,950",2_bedroom,,,,,,,,
South Jamaica,"$2,100",2_bedroom,,,,,,,,
Ozone Park,"$2,100",2_bedroom,,,,,,,,
Whitestone,"$2,150",2_bedroom,,,,,,,,
Tompkinsville,"$2,800",2_bedroom,,,,,,,,
Borough Park,"$1,873",2_bedroom,,,,,,,,
Rosedale,"$1,800",2_bedroom,,,,,,,,
Red Hook,"$2,400",2_bedroom,,,,,,,,
Concourse Village,"$2,195",2_bedroom,,,,,,,,
Throgs Neck,"$1,950",2_bedroom,,,,,,,,
Williamsbridge,"$2,100",2_bedroom,,,,,,,,
St. George,"$2,298",2_bedroom,,,,,,,,
Laurelton,"$2,000",2_bedroom,,,,,,,,
Glen Oaks,"$2,000",2_bedroom,,,,,,,,
NoHo,"$7,248",2_bedroom,,,,,,,,
Cobble Hill,"$2,700",2_bedroom,,,,,,,,
Fresh Meadows,"$2,200",2_bedroom,,,,,,,,
Pelham Bay,"$1,950",2_bedroom,,,,,,,,
Mapleton,"$1,750",2_bedroom,,,,,,,,
Bellerose,"$2,200",2_bedroom,,,,,,,,
Windsor Terrace,"$2,952",2_bedroom,,,,,,,,
DUMBO,"$5,895",2_bedroom,,,,,,,,
Hollis,"$2,000",2_bedroom,,,,,,,,
Concourse,"$2,000",2_bedroom,,,,,,,,
Highbridge,"$1,900",2_bedroom,,,,,,,,
Little Italy,"$3,850",2_bedroom,,,,,,,,
Hillcrest,"$2,100",2_bedroom,,,,,,,,
Brookville,"$2,250",2_bedroom,,,,,,,,
South Beach,"$1,800",2_bedroom,,,,,,,,
Civic Center,"$3,690",2_bedroom,,,,,,,,
Stuyvesant Town - Peter Cooper Village,"$4,100",2_bedroom,,,,,,,,
Central Park,"$3,325",2_bedroom,,,,,,,,
Howard Beach,"$2,200",2_bedroom,,,,,,,,
Jamaica Estates,"$2,350",2_bedroom,,,,,,,,
Parkchester,"$1,889",2_bedroom,,,,,,,,
Norwood,"$1,895",2_bedroom,,,,,,,,
Allerton,"$1,800",2_bedroom,,,,,,,,
Douglaston,"$2,645",2_bedroom,,,,,,,,
Kingsbridge,"$2,198",2_bedroom,,,,,,,,
City Island,"$2,350",2_bedroom,,,,,,,,
Great Kills,"$1,750",2_bedroom,,,,,,,,
Clason Point,"$2,100",2_bedroom,,,,,,,,
Crotona Park East,"$2,000",2_bedroom,,,,,,,,
Morris Park,"$2,050",2_bedroom,,,,,,,,
Mount Hope,"$1,825",2_bedroom,,,,,,,,
Fordham Heights,"$2,000",2_bedroom,,,,,,,,
New Brighton,"$1,800",2_bedroom,,,,,,,,
Forest Park,"$2,000",2_bedroom,,,,,,,,
Bergen Beach,"$1,900",2_bedroom,,,,,,,,
Little Neck,"$3,275",2_bedroom,,,,,,,,
Westerleigh,"$1,800",2_bedroom,,,,,,,,
West Brighton,"$1,800",2_bedroom,,,,,,,,
Jamaica Hills,"$2,300",2_bedroom,,,,,,,,
Unionport,"$1,775",2_bedroom,,,,,,,,
Van Nest,"$2,200",2_bedroom,,,,,,,,
Hunts Point,"$1,500",2_bedroom,,,,,,,,
Pomonok,"$2,100",2_bedroom,,,,,,,,
Bedford Park,"$2,100",2_bedroom,,,,,,,,
Marine Park,"$2,100",2_bedroom,,,,,,,,
Morris Heights,"$1,900",2_bedroom,,,,,,,,
New Dorp,"$1,500",2_bedroom,,,,,,,,
Fordham Manor,"$2,050",2_bedroom,,,,,,,,
Roosevelt Island,"$4,478",2_bedroom,,,,,,,,
Coney Island,"$2,400",2_bedroom,,,,,,,,
Mount Eden,"$2,000",2_bedroom,,,,,,,,
New Springville,"$1,850",2_bedroom,,,,,,,,
Silver Lake,"$2,100",2_bedroom,,,,,,,,
Concord,"$1,900",2_bedroom,,,,,,,,
Rosebank,"$1,850",2_bedroom,,,,,,,,
Eltingville,"$1,800",2_bedroom,,,,,,,,
Dongan Hills,"$1,800",2_bedroom,,,,,,,,
