,borough,neighborhood,longitude,latitude,population,PC1,PC2,PC3,cluster
116,Queens,Murray Hill,-73.81276269135866,40.76412612261407,51739.0,7.761742018946268,3.171349558105847,-0.2645424526121778,5
117,Manhattan,Chelsea,-74.00311633472813,40.744034706747975,23383.0,9.518139579956088,3.7140123446675504,-1.849349254510869,4
118,Staten Island,Chelsea,-74.1895604551969,40.59472602746295,3000.0,9.80940023899066,6.771822431654464,-1.2499879476662317,-1
119,Manhattan,Greenwich Village,-73.99991402945902,40.72693288536128,23000.0,8.123867660429097,1.1167252869908142,-1.1358626568418095,5
120,Manhattan,East Village,-73.98222616506416,40.72784677727024,44136.0,8.590817119753998,0.836869626481251,-5.2784603333083995,2
121,Manhattan,Lower East Side,-73.98089031999291,40.71780674892765,72957.0,7.722513228583228,6.925777560025419,4.5968321982253695,-1
122,Manhattan,Tribeca,-74.01068328559087,40.721521967443216,10686.0,10.202314616713917,4.487787839879132,-1.7797135138493478,4
123,Manhattan,Little Italy,-73.99730467208073,40.71932379395907,10686.0,10.238607720506169,2.8103896393832493,-7.864083621348099,-1
124,Manhattan,Soho,-74.00065666959759,40.72218384131794,10686.0,9.12873481115955,1.8843049643888121,1.6990408778736414,-1
125,Manhattan,West Village,-74.00617998126812,40.73443393572434,66880.0,6.564135490402126,-4.4585051651080345,-0.6850152392136534,-1
126,Manhattan,Manhattan Valley,-73.96428617740655,40.79730704170287,23000.0,8.985955842201106,1.888105165390148,-0.5758942347460326,5
127,Manhattan,Morningside Heights,-73.96389627905332,40.80799973816583,55929.0,9.158958507584485,0.3995488469390993,-3.7493136430428753,2
128,Manhattan,Gramercy,-73.98137594833541,40.737209832715,27988.0,12.011246647126812,3.328428921164975,-4.984747466696295,-1
129,Manhattan,Battery Park City,-74.01686930508617,40.71193198394565,42483.0,6.841900371509047,-3.068102431673572,-1.2464002945077433,2
130,Manhattan,Financial District,-74.0106654452127,40.70710710727048,54000.0,7.43920773295235,-0.7423450663756127,0.9804043442990057,3
131,Queens,Astoria,-73.91565374304234,40.76850859335492,78793.0,5.322720441491417,-5.619976624935744,1.3410854661849778,0
132,Queens,Woodside,-73.90184166838284,40.74634908860222,45099.0,7.835942450851895,10.67232514775499,17.73195972094662,-1
133,Queens,Jackson Heights,-73.88282109164365,40.75198138007367,108152.0,-1.847598584414521,-0.12842910259215348,-0.21536944419656245,0
134,Queens,Elmhurst,-73.88165622288388,40.74404850512202,101188.0,-1.940214588657901,-2.43217738277034,1.433650787713685,0
135,Queens,Howard Beach,-73.8381376460028,40.65422527738487,13074.0,2.0917480738064906,-2.22598020829527,0.943765114931742,0
136,Queens,Corona,-73.85682497345258,40.74238175015667,57658.0,-0.3664719220202584,-1.9760345413294818,-0.35341160340220035,0
137,Queens,Forest Hills,-73.84447500788983,40.72526378216503,83728.0,1.8317746175022684,-4.405366568202361,2.4540665898785528,0
138,Queens,Kew Gardens,-73.82981905825703,40.7051790354148,23278.0,7.481627343523619,19.780871900453743,27.725782950393203,-1
139,Queens,Richmond Hill,-73.83183321446887,40.69794731471763,62982.0,6.085090618788777,-1.2781273815472196,4.11817002295417,-1
140,Queens,Flushing,-73.83177300329582,40.76445419697846,98990.0,4.106370633348307,-3.539757159228642,2.4475796235743044,-1
141,Queens,Long Island City,-73.93920223915505,40.75021734610528,6677.0,-2.782931294916126,1.1789445643442986,-0.8994713560740388,0
142,Queens,Sunnyside,-73.92691617561577,40.74017628351924,21090.0,2.746166518423587,-3.387355025428436,0.8609075738728821,0
143,Staten Island,Sunnyside,-74.0971255217853,40.61276015756489,12000.0,4.021336548003329,-3.496477254845857,0.8864702711703383,0
144,Queens,East Elmhurst,-73.86704147658772,40.76407323883091,23150.0,-3.616614374211665,1.5860312844838664,-1.0134087850144549,0
145,Queens,Maspeth,-73.89621713626859,40.725427374093606,60354.0,4.004374069534372,-5.717268170860933,3.7152378259656413,-1
146,Queens,Ridgewood,-73.90143517559589,40.70832315613858,69317.0,0.7229964932693416,-3.8617738197131173,2.3042139548250553,0
147,Queens,Glendale,-73.87074167435605,40.70276242967838,32496.0,-1.4795789309059086,-1.7550449376078257,1.5824740414350524,0
148,Queens,Rego Park,-73.8578268690537,40.72897409480735,28260.0,-3.676737311515177,1.822241785186872,-1.6937785994511723,0
149,Queens,Woodhaven,-73.8581104655432,40.68988687915789,56674.0,-0.4245947086821628,-0.916639841498065,2.4885503668380315,0
150,Queens,Ozone Park,-73.84320266173447,40.680708468265415,21376.0,-4.301064239643278,1.3502494556634144,-0.5375051079656517,0
151,Queens,South Ozone Park,-73.80986478649041,40.66854957767195,75878.0,9.524930660317885,-0.7381791078981272,-2.247536078566305,2
152,Queens,College Point,-73.84304528896125,40.784902749260205,24275.0,-0.022429931424957514,-0.8129547541946509,0.6067491490565936,0
153,Queens,Whitestone,-73.81420216610863,40.78129076602694,30773.0,1.5786591905013663,3.5961049788758293,4.907133575441944,-1
154,Queens,Bayside,-73.7742736306867,40.76604063281064,42483.0,-0.9864932825251528,1.9985064814443516,1.0793371224653459,0
155,Queens,Auburndale,-73.79176243728061,40.76172954903262,19996.0,-3.909144818293755,1.3309030268050281,-1.1197724121299193,0
156,Queens,Little Neck,-73.7388977558074,40.7708261928267,12370.0,-2.362664061643327,1.0677967138721622,-0.42811485181568365,0
157,Queens,Douglaston,-73.7424982072733,40.76684609790763,12370.0,-2.7425263124982617,0.07822847482821471,-0.12294991377249871,0
158,Queens,Glen Oaks,-73.71548118999145,40.74944079974332,11286.0,-3.2272090117925307,0.7415479296981259,-0.381739905080128,0
159,Queens,Bellerose,-73.72012814826903,40.72857318176675,25287.0,-1.8238431385656326,-0.29013073261643324,1.5061668519117475,0
