,neighborhood,borough,coordinates,longitude,latitude
181,Floral Park,Queens,"[-73.70884705889246, 40.741378421945434]",-73.70884705889246,40.741378421945434
182,Holliswood,Queens,"[-73.76714166714729, 40.7209572076444]",-73.76714166714729,40.7209572076444
183,Jamaica Estates,Queens,"[-73.7872269693666, 40.71680483014613]",-73.7872269693666,40.71680483014613
184,Queensboro Hill,Queens,"[-73.82580915110559, 40.7445723092867]",-73.82580915110559,40.7445723092867
185,Hillcrest,Queens,"[-73.79760300912672, 40.723824901829204]",-73.79760300912672,40.723824901829204
186,Ravenswood,Queens,"[-73.93157506072878, 40.761704526054146]",-73.93157506072878,40.761704526054146
187,Lindenwood,Queens,"[-73.84963782402441, 40.66391841925139]",-73.84963782402441,40.66391841925139
188,Laurelton,Queens,"[-73.74025607989822, 40.66788389660247]",-73.74025607989822,40.66788389660247
189,Lefrak City,Queens,"[-73.8625247141374, 40.736074570830795]",-73.8625247141374,40.736074570830795
190,Belle Harbor,Queens,"[-73.8540175039252, 40.57615556543109]",-73.8540175039252,40.57615556543109
191,Rockaway Park,Queens,"[-73.84153370226186, 40.58034295646131]",-73.84153370226186,40.58034295646131
192,Somerville,Queens,"[-73.79664750844047, 40.59771061565768]",-73.79664750844047,40.59771061565768
193,Brookville,Queens,"[-73.75175310731153, 40.66000322733613]",-73.75175310731153,40.66000322733613
194,Bellaire,Queens,"[-73.73889198912481, 40.73301404027834]",-73.73889198912481,40.73301404027834
195,North Corona,Queens,"[-73.85751790676447, 40.7540709990489]",-73.85751790676447,40.7540709990489
196,Forest Hills Gardens,Queens,"[-73.8410221123401, 40.7146110815117]",-73.8410221123401,40.7146110815117
197,St. George,Staten Island,"[-74.07935312512797, 40.6449815710044]",-74.07935312512797,40.6449815710044
198,New Brighton,Staten Island,"[-74.08701650516625, 40.64061455913511]",-74.08701650516625,40.64061455913511
199,Stapleton,Staten Island,"[-74.07790192660066, 40.62692762538176]",-74.07790192660066,40.62692762538176
200,Rosebank,Staten Island,"[-74.06980526716141, 40.61530494652761]",-74.06980526716141,40.61530494652761
201,West Brighton,Staten Island,"[-74.1071817826561, 40.63187892654607]",-74.1071817826561,40.63187892654607
202,Grymes Hill,Staten Island,"[-74.08724819983729, 40.624184791313006]",-74.08724819983729,40.624184791313006
203,Todt Hill,Staten Island,"[-74.1113288180088, 40.59706851814673]",-74.1113288180088,40.59706851814673
204,South Beach,Staten Island,"[-74.0795529253982, 40.58024741350956]",-74.0795529253982,40.58024741350956
205,Port Richmond,Staten Island,"[-74.12943426797008, 40.63366930554365]",-74.12943426797008,40.63366930554365
206,Mariner's Harbor,Staten Island,"[-74.15008537046981, 40.632546390481124]",-74.15008537046981,40.632546390481124
207,Port Ivory,Staten Island,"[-74.17464532993542, 40.63968297845542]",-74.17464532993542,40.63968297845542
208,Castleton Corners,Staten Island,"[-74.11918058534842, 40.61333593766742]",-74.11918058534842,40.61333593766742
209,New Springville,Staten Island,"[-74.16496031329827, 40.594252379161695]",-74.16496031329827,40.594252379161695
210,Travis,Staten Island,"[-74.19073717538116, 40.58631375103281]",-74.19073717538116,40.58631375103281
211,New Dorp,Staten Island,"[-74.1164794360638, 40.57257231820632]",-74.1164794360638,40.57257231820632
212,Oakwood,Staten Island,"[-74.12156593771896, 40.5584622432888]",-74.12156593771896,40.5584622432888
213,Great Kills,Staten Island,"[-74.14932381490992, 40.549480228713605]",-74.14932381490992,40.549480228713605
214,Eltingville,Staten Island,"[-74.1643308041936, 40.542230747450745]",-74.1643308041936,40.542230747450745
215,Annadale,Staten Island,"[-74.17854866165878, 40.53811417474507]",-74.17854866165878,40.53811417474507
216,Woodrow,Staten Island,"[-74.20524582480326, 40.541967622888755]",-74.20524582480326,40.541967622888755
217,Tottenville,Staten Island,"[-74.24656934235283, 40.50533376115642]",-74.24656934235283,40.50533376115642
218,Tompkinsville,Staten Island,"[-74.08055351790115, 40.637316067110326]",-74.08055351790115,40.637316067110326
219,Silver Lake,Staten Island,"[-74.09629029235458, 40.61919310792676]",-74.09629029235458,40.61919310792676
220,Sunnyside,Staten Island,"[-74.0971255217853, 40.61276015756489]",-74.0971255217853,40.61276015756489
221,Ditmas Park,Brooklyn,"[-73.96101312466779, 40.643675183340974]",-73.96101312466779,40.643675183340974
222,Wingate,Brooklyn,"[-73.93718680559314, 40.66094656188111]",-73.93718680559314,40.66094656188111
223,Rugby,Brooklyn,"[-73.92688212616955, 40.655572313280764]",-73.92688212616955,40.655572313280764
224,Park Hill,Staten Island,"[-74.08015734936296, 40.60919044434558]",-74.08015734936296,40.60919044434558
225,Westerleigh,Staten Island,"[-74.13304143951704, 40.62109047275409]",-74.13304143951704,40.62109047275409
226,Graniteville,Staten Island,"[-74.15315246387762, 40.620171512231884]",-74.15315246387762,40.620171512231884
227,Arlington,Staten Island,"[-74.16510420241124, 40.63532509911492]",-74.16510420241124,40.63532509911492
228,Arrochar,Staten Island,"[-74.06712363225574, 40.596312571276734]",-74.06712363225574,40.596312571276734
229,Grasmere,Staten Island,"[-74.0766743627905, 40.59826835959991]",-74.0766743627905,40.59826835959991
230,Old Town,Staten Island,"[-74.08751118005578, 40.59632891379513]",-74.08751118005578,40.59632891379513
231,Dongan Hills,Staten Island,"[-74.09639905312521, 40.588672948199275]",-74.09639905312521,40.588672948199275
232,Midland Beach,Staten Island,"[-74.09348266303591, 40.57352690574283]",-74.09348266303591,40.57352690574283
233,Grant City,Staten Island,"[-74.10585598545434, 40.57621558711788]",-74.10585598545434,40.57621558711788
234,New Dorp Beach,Staten Island,"[-74.10432707469124, 40.56425549307335]",-74.10432707469124,40.56425549307335
235,Bay Terrace,Staten Island,"[-74.13916622175768, 40.55398800858462]",-74.13916622175768,40.55398800858462
236,Huguenot,Staten Island,"[-74.19174105747814, 40.531911920489605]",-74.19174105747814,40.531911920489605
237,Pleasant Plains,Staten Island,"[-74.21983106616777, 40.524699376118136]",-74.21983106616777,40.524699376118136
238,Butler Manor,Staten Island,"[-74.22950350260027, 40.50608165346305]",-74.22950350260027,40.50608165346305
239,Charleston,Staten Island,"[-74.23215775896526, 40.53053148283314]",-74.23215775896526,40.53053148283314
240,Rossville,Staten Island,"[-74.21572851113952, 40.54940400650072]",-74.21572851113952,40.54940400650072
241,Arden Heights,Staten Island,"[-74.18588674583893, 40.54928582278321]",-74.18588674583893,40.54928582278321
242,Greenridge,Staten Island,"[-74.17079414786092, 40.555295236173194]",-74.17079414786092,40.555295236173194
243,Heartland Village,Staten Island,"[-74.15902208156601, 40.58913894875281]",-74.15902208156601,40.58913894875281
244,Chelsea,Staten Island,"[-74.1895604551969, 40.59472602746295]",-74.1895604551969,40.59472602746295
245,Bloomfield,Staten Island,"[-74.18725638381567, 40.60577868452358]",-74.18725638381567,40.60577868452358
246,Bulls Head,Staten Island,"[-74.15940948657122, 40.6095918004203]",-74.15940948657122,40.6095918004203
247,Carnegie Hill,Manhattan,"[-73.95325646837112, 40.7826825671257]",-73.95325646837112,40.7826825671257
248,Noho,Manhattan,"[-73.98843368023597, 40.72325901885768]",-73.98843368023597,40.72325901885768
249,Civic Center,Manhattan,"[-74.00541529873355, 40.71522892046282]",-74.00541529873355,40.71522892046282
250,Midtown South,Manhattan,"[-73.98871313285247, 40.7485096643122]",-73.98871313285247,40.7485096643122
251,Richmond Town,Staten Island,"[-74.1340572986257, 40.56960594275505]",-74.1340572986257,40.56960594275505
252,Shore Acres,Staten Island,"[-74.06667766061771, 40.60971934079284]",-74.06667766061771,40.60971934079284
253,Clifton,Staten Island,"[-74.072642445484, 40.61917845202843]",-74.072642445484,40.61917845202843
254,Concord,Staten Island,"[-74.08402364740358, 40.6044731896879]",-74.08402364740358,40.6044731896879
255,Emerson Hill,Staten Island,"[-74.09776206972522, 40.606794394801]",-74.09776206972522,40.606794394801
256,Randall Manor,Staten Island,"[-74.09805062373887, 40.63563000681151]",-74.09805062373887,40.63563000681151
257,Howland Hook,Staten Island,"[-74.18622331749823, 40.63843283794795]",-74.18622331749823,40.63843283794795
258,Elm Park,Staten Island,"[-74.1418167896889, 40.630146741193826]",-74.1418167896889,40.630146741193826
