,id,borough,neighborhood,longitude,latitude,population,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level,yelp_category
178,nyu_2451_34572.176,Queens,Bay Terrace,-73.7768022262158,40.782842806245554,10876.0,11,378,3.3,2,burgers
179,nyu_2451_34572.236,Staten Island,Bay Terrace,-74.13916622175768,40.55398800858462,7000.0,3,219,4.5,2,italian
180,nyu_2451_34572.177,Queens,Edgemere,-73.77613282391705,40.595641807368494,12295.0,5,124,3.9,1,cafes
181,nyu_2451_34572.178,Queens,Arverne,-73.79199233136943,40.58914394372971,12295.0,13,188,4.0,2,sandwiches
182,nyu_2451_34572.179,Queens,Rockaway Beach,-73.82236121088751,40.582801696845586,13000.0,20,251,4.2,2,juicebars
183,nyu_2451_34572.180,Queens,Neponsit,-73.85754672410827,40.572036730217015,5000.0,5,219,4.2,2,N
184,nyu_2451_34572.182,Queens,Floral Park,-73.70884705889246,40.741378421945434,11286.0,20,299,3.7,1,indpak
185,nyu_2451_34572.183,Queens,Holliswood,-73.76714166714729,40.7209572076444,12740.0,6,483,4.2,1,sandwiches
186,nyu_2451_34572.184,Queens,Jamaica Estates,-73.7872269693666,40.71680483014613,12740.0,20,316,3.9,1,halal
187,nyu_2451_34572.185,Queens,Queensboro Hill,-73.82580915110559,40.7445723092867,20800.0,16,368,4.0,2,chinese
188,nyu_2451_34572.186,Queens,Hillcrest,-73.79760300912672,40.723824901829204,17017.0,10,381,3.8,2,hotdogs
189,nyu_2451_34572.187,Queens,Ravenswood,-73.93157506072878,40.761704526054146,6677.0,20,500,4.4,2,pizza
190,nyu_2451_34572.188,Queens,Lindenwood,-73.84963782402441,40.66391841925139,13074.0,8,1059,4.1,2,pizza
191,nyu_2451_34572.189,Queens,Laurelton,-73.74025607989822,40.66788389660247,24453.0,15,370,4.0,1,chinese
192,nyu_2451_34572.190,Queens,Lefrak City,-73.8625247141374,40.736074570830795,65000.0,20,682,4.3,2,pizza
193,nyu_2451_34572.191,Queens,Belle Harbor,-73.8540175039252,40.57615556543109,7004.0,6,201,4.2,2,sandwiches
194,nyu_2451_34572.192,Queens,Rockaway Park,-73.84153370226186,40.58034295646131,7004.0,20,181,4.3,2,pizza
195,nyu_2451_34572.193,Queens,Somerville,-73.79664750844047,40.59771061565768,15000.0,6,155,4.4,2,N
196,nyu_2451_34572.194,Queens,Brookville,-73.75175310731153,40.66000322733613,10066.0,3,340,3.9,1,delis
197,nyu_2451_34572.195,Queens,Bellaire,-73.73889198912481,40.73301404027834,22000.0,19,386,4.0,1,hotdogs
198,nyu_2451_34572.196,Queens,North Corona,-73.85751790676447,40.7540709990489,52037.0,39,324,4.0,1,mexican
199,nyu_2451_34572.197,Queens,Forest Hills Gardens,-73.8410221123401,40.7146110815117,5000.0,20,708,4.2,2,sushi
200,nyu_2451_34572.198,Staten Island,St. George,-74.07935312512797,40.6449815710044,11184.0,18,316,4.1,2,pizza
201,nyu_2451_34572.199,Staten Island,New Brighton,-74.08701650516625,40.64061455913511,19946.0,11,156,4.2,1,chinese
202,nyu_2451_34572.200,Staten Island,Stapleton,-74.07790192660066,40.62692762538176,13226.0,19,201,4.0,2,pizza
203,nyu_2451_34572.201,Staten Island,Rosebank,-74.06980526716141,40.61530494652761,13226.0,17,253,4.4,2,pizza
204,nyu_2451_34572.202,Staten Island,West Brighton,-74.1071817826561,40.63187892654607,28934.0,32,263,4.2,2,italian
205,nyu_2451_34572.203,Staten Island,Grymes Hill,-74.08724819983729,40.624184791313006,11230.0,4,246,4.0,1,chickenshop
206,nyu_2451_34572.204,Staten Island,Todt Hill,-74.1113288180088,40.59706851814673,7678.0,0,0,0.0,0,N
207,nyu_2451_34572.205,Staten Island,South Beach,-74.0795529253982,40.58024741350956,8278.0,1,787,4.2,2,sandwiches
208,nyu_2451_34572.206,Staten Island,Port Richmond,-74.12943426797008,40.63366930554365,20191.0,20,93,3.8,2,mexican
209,nyu_2451_34572.207,Staten Island,Mariner's Harbor,-74.15008537046981,40.632546390481124,7868.0,5,337,4.4,2,delis
