,index,lodging,restaurant,school,health,bar,church,bank,store,clothing,tourist attraction,department store,office,electronics store,park,supermarket
255,nyu_2451_34572.255,1,17,11,5,2,10,4,15,6,0,0,5,2,6,7
256,nyu_2451_34572.256,1,39,13,3,7,25,8,33,9,5,0,1,2,14,9
257,nyu_2451_34572.257,1,16,2,1,5,5,1,0,0,1,0,1,0,3,1
258,nyu_2451_34572.258,1,60,13,7,11,30,15,39,16,0,6,6,11,9,20
259,nyu_2451_34572.259,6,60,57,5,5,40,13,58,14,2,3,6,8,10,19
260,nyu_2451_34572.260,7,0,60,8,1,60,8,60,16,0,3,7,11,9,19
261,nyu_2451_34572.261,3,40,26,3,4,26,9,32,11,0,2,2,6,7,8
262,nyu_2451_34572.262,1,51,15,2,6,13,24,40,48,1,5,6,8,7,6
263,nyu_2451_34572.263,8,60,57,18,15,48,30,60,60,3,10,20,39,11,25
264,nyu_2451_34572.264,5,54,24,7,4,16,15,19,3,0,2,7,5,8,7
265,nyu_2451_34572.265,6,37,22,4,3,14,11,20,3,1,1,8,3,6,7
266,nyu_2451_34572.266,5,34,8,3,11,10,3,15,7,0,1,5,2,10,5
267,nyu_2451_34572.267,5,60,60,14,8,60,20,60,26,1,4,8,13,28,33
268,nyu_2451_34572.268,6,60,60,17,14,60,39,60,56,4,10,30,19,0,40
269,nyu_2451_34572.269,10,60,60,18,18,60,30,60,33,2,4,15,14,31,35
270,nyu_2451_34572.270,10,60,60,32,18,60,25,60,26,0,3,16,13,30,33
271,nyu_2451_34572.271,19,60,60,30,60,40,60,60,60,7,12,16,20,30,17
272,nyu_2451_34572.272,7,60,20,2,28,11,9,35,9,4,0,5,4,27,8
273,nyu_2451_34572.273,37,60,49,37,60,50,60,57,59,12,14,60,33,30,15
274,nyu_2451_34572.274,43,60,60,32,60,51,60,38,38,11,5,60,30,27,17
275,nyu_2451_34572.275,9,60,60,7,60,53,30,56,33,4,4,0,6,17,14
276,nyu_2451_34572.276,60,60,60,55,60,60,60,60,60,13,17,0,40,32,35
277,nyu_2451_34572.277,4,60,23,8,35,36,26,60,15,2,2,14,17,14,24
278,nyu_2451_34572.278,2,60,25,4,13,11,17,39,9,3,0,6,8,8,7
279,nyu_2451_34572.279,10,60,40,20,35,51,55,38,34,16,0,20,18,40,12
280,nyu_2451_34572.280,4,60,50,12,20,39,24,36,24,8,0,20,10,26,14
281,nyu_2451_34572.281,16,60,60,10,21,60,16,60,51,1,1,10,13,16,27
282,nyu_2451_34572.282,12,60,57,10,12,60,15,60,35,1,2,9,13,14,17
283,nyu_2451_34572.283,5,60,55,13,25,40,24,37,16,12,0,17,9,37,15
284,nyu_2451_34572.284,0,20,8,4,2,9,9,14,0,0,0,2,3,4,5
285,nyu_2451_34572.285,1,45,10,6,3,14,17,18,4,1,0,4,2,3,8
286,nyu_2451_34572.286,1,15,3,1,5,1,2,12,5,2,1,4,3,10,1
287,nyu_2451_34572.287,0,18,8,6,1,6,4,0,4,4,0,2,2,8,1
288,nyu_2451_34572.288,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0
289,nyu_2451_34572.289,2,60,34,15,12,14,43,57,57,1,6,8,30,5,19
290,nyu_2451_34572.290,2,33,13,2,11,12,15,35,10,0,2,5,2,9,5
291,nyu_2451_34572.291,0,12,10,5,1,10,9,13,4,1,0,1,2,7,2
292,nyu_2451_34572.292,0,3,5,0,1,4,1,3,3,4,0,0,0,4,0
293,nyu_2451_34572.293,2,44,8,11,10,6,16,52,14,2,2,3,5,4,6
294,nyu_2451_34572.294,1,30,8,1,5,12,15,34,5,1,3,10,4,8,5
295,nyu_2451_34572.295,8,0,29,8,8,60,7,40,7,1,0,4,8,4,11
296,nyu_2451_34572.296,5,40,49,20,10,18,47,60,33,0,6,14,20,11,25
297,nyu_2451_34572.297,3,60,33,5,10,37,22,52,16,2,2,12,7,7,12
298,nyu_2451_34572.298,2,60,30,6,7,51,15,0,20,1,1,0,12,9,15
299,nyu_2451_34572.299,4,60,58,12,13,45,36,60,60,0,13,12,18,16,30
300,nyu_2451_34572.300,5,0,50,17,19,60,9,60,55,3,4,9,16,7,23
301,nyu_2451_34572.301,39,60,60,20,60,37,60,60,60,12,9,57,29,20,26
302,nyu_2451_34572.302,3,44,6,9,8,20,3,33,6,1,2,5,1,8,8
303,nyu_2451_34572.303,4,32,15,6,2,18,7,34,12,2,0,5,9,9,12
304,nyu_2451_34572.304,19,59,36,10,19,25,12,36,7,4,0,11,9,19,8
305,nyu_2451_34572.305,2,36,14,7,8,30,10,50,14,2,1,8,2,11,17
